"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Large Language Model Based Knowledge Mining Method for Improving the Reliability of Fire Water Systems","Y. Li; L. Tian; C. Yi; J. Li; X. Qin; Y. He; H. Su","Tianjin Fire Science and Technology Research Institute of MEM, Tianjin, China; Tianjin Fire Science and Technology Research Institute of MEM, Tianjin, China; Tianjin Fire Science and Technology Research Institute of MEM, Tianjin, China; Tianjin Fire Science and Technology Research Institute of MEM, Tianjin, China; National Engineering Laboratory for Pipeline Safety MOE Key Laboratory of Petroleum Engineering Beijing Key Laboratory of Urban Oil and Gas Distribution Technology, China University of Petroleum-Beijing, Beijing, China; National Engineering Laboratory for Pipeline Safety MOE Key Laboratory of Petroleum Engineering Beijing Key Laboratory of Urban Oil and Gas Distribution Technology, China University of Petroleum-Beijing, Beijing, China; National Engineering Laboratory for Pipeline Safety MOE Key Laboratory of Petroleum Engineering Beijing Key Laboratory of Urban Oil and Gas Distribution Technology, China University of Petroleum-Beijing, Beijing, China",2024 6th International Conference on System Reliability and Safety Engineering (SRSE),"6 Dec 2024","2024","","","410","413","The fire water system plays a critical role in protecting both infrastructure and human lives. An essential aspect of enhancing the reliability of this system is fault diagnosis. However, the current fault diagnosis methods primarily rely on data-driven approaches, which often result in a high threshold for application due to their lack of interpretability. To tackle this challenge, this paper introduces a novel approach based on large language models for knowledge mining from textual data to extract fault information related to the fire water system, thereby enhancing the interpretability of data-driven fault diagnosis methods. The methodology followed in this paper consists of two main steps: firstly, analyzing the characteristics and principles of fire water system faults to develop a fault ontology, and secondly, creating a knowledge mining model using a large language model guided by the established fault ontology. Experimental findings indicate that the proposed model achieves an F1 score of 0.944, meeting the necessary criteria for effective knowledge mining in fire water system fault analysis. Furthermore, a comparative experiment was conducted to evaluate the performance of various encoder models, including GRU, BiGRU, LSTM, BiLSTM, and pre-trained large language model BERT. The results revealed a significant improvement in performance with the BERT encoder, showing increases in F1 scores of $22.12 \%$, $2.27 \%, 17.41 \%$, and $3.16 \%$ compared to the other models, respectively. This study provides valuable interpretative insights that can enhance the engineering applicability and reliability of data-driven fault diagnosis methods in fire water system.","","979-8-3503-5608-3","10.1109/SRSE63568.2024.10772514","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10772514","large language model;system reliability;fire water system;safety engineering;knowledge mining","Fault diagnosis;Water;Analytical models;Accuracy;Large language models;Bidirectional control;Ontologies;Reliability engineering;Encoding;Data mining","","","","8","IEEE","6 Dec 2024","","","IEEE","IEEE Conferences"
"Robot Situation and Task Awareness Using Large Language Models and Ontologies","V. Molina; O. Ruiz-Celada; R. Suarez; J. Rosell; I. Zaplana","Institute of Industrial and Control Engineering, Universitat Politècnica de Catalunya, Barcelona, Spain; Institute of Industrial and Control Engineering, Universitat Politècnica de Catalunya, Barcelona, Spain; Institute of Industrial and Control Engineering, Universitat Politècnica de Catalunya, Barcelona, Spain; Institute of Industrial and Control Engineering, Universitat Politècnica de Catalunya, Barcelona, Spain; Institute of Industrial and Control Engineering, Universitat Politècnica de Catalunya, Barcelona, Spain",2025 55th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W),"14 Jul 2025","2025","","","96","103","Robot situation and task awareness requires a deep understanding of the environment, the domain knowledge, and task planning. We present a novel framework that integrates ontologies, Large Language Models (LLMs), and the Planning Domain Definition Language (PDDL) to enhance the comprehension capabilities of robotic systems. The framework employs an LLM to extract structured knowledge from natural language descriptions provided by a human user, populating an OWL ontology that captures relevant objects, properties, and relations. This populated ontology is then used to parse a PDDL Domain file and generate a corresponding PDDL Problem file to solve particular planning problems. This research contributes to the intersection of knowledge representation, natural language processing, and automated planning, providing a solution for intuitive human-robot interaction through LLMs.","2325-6664","979-8-3315-1205-7","10.1109/DSN-W65791.2025.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11071598","robotic manipulation;task planning;ontologies;Large Language Models","Large language models;Conferences;OWL;Human-robot interaction;Ontologies;Natural language processing;Planning;Robots","","","","19","IEEE","14 Jul 2025","","","IEEE","IEEE Conferences"
"Masked Theme-Specific Named Entity Recognition Assisted with Large Language Models","Z. Ying; C. Weiyu; L. Longlong; L. Jie","Hong Kong Quantum AI Lab, The University of Hong Kong, Hong Kong, China; Hong Kong Quantum AI Lab, The University of Hong Kong, Hong Kong, China; Hong Kong Quantum AI Lab, The University of Hong Kong, Hong Kong, China; Hong Kong Quantum AI Lab, The University of Hong Kong, Hong Kong, China",2024 IEEE International Conference on Computing (ICOCO),"24 Mar 2025","2024","","","457","462","Existing Named Entity Recognition (NER) methods are required to label relevant samples and train the concrete NER models. Due to the specification of theme-specific documents, these NER models are considerably hard to identify potential theme-specific entities. To address this challenge, we propose an effective two-stage approach of masked theme-specific NER associated with Large Language Models (LLMs), which uses the unsupervised mechanism rather than the supervised one. The approach involves theme-specific entity ontology construction and masked NER in heterogeneous documents. The first stage is associated with LLMs and Wikipedia category pages, and the second one is implemented with the masked NER based on the created ontology in the first stage. Extensive experimental results suggest that the proposed masked NER can precisely locate the known entities in the theme-specific entity ontology while improving the accuracy of NER in the remaining text. Compared to the mainstream NER frameworks such as spaCy 3, the masked NER can identify more valid entities in the input Markdown text and continuously use the newly detected unknown entities to update the created ontology.","","979-8-3315-3030-3","10.1109/ICOCO62848.2024.10928264","Hong Kong Government; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10928264","Natural Language Processing;Named Entity Recognition;Large Language Model;Heterogeneous Documents;Theme-specific Entity Ontology","Accuracy;Filtering;Large language models;Computational modeling;Named entity recognition;Encyclopedias;Ontologies;Libraries;Internet;Online services","","","","20","IEEE","24 Mar 2025","","","IEEE","IEEE Conferences"
"Ontological User Profiling and Language Modeling for Personalized Information Services","C. F. So; C. C. L. Lai; R. Y. K. Lau","Department of Information Systems, City University of Hong Kong, Hong Kong, China; Department of Information Systems, City University of Hong Kong, Hong Kong, China; Department of Information Systems, City University of Hong Kong, Hong Kong, China",2009 IEEE International Conference on e-Business Engineering,"1 Dec 2009","2009","","","559","564","With the explosive growth of the information and services deployed to the Web, there is a pressing need to develop an effective service for personalized services discovery and recommendation. Despite personalized services discovery methods have been studied by researchers before, few attempts have been made to explore ontological user profiling and probabilistic language modeling approach for service contextualization and service ranking. This paper makes a novel contribution in terms of developing an agent and ontology based user profiling mechanism to improve the service discovery processes. In particular, a novel probabilistic language modeling approach is developed to conduct service contextualization and service ranking. Our initial experimental results show that the proposed service personalization approach is promising when compared with a baseline system.","","978-0-7695-3842-6","10.1109/ICEBE.2009.89","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5342055","Web Services;Services Discovery;Services Personalization;Domain Ontology;Ontological User Profiling;Language Modeling","Ontologies;Context-aware services;Context modeling;Web services;Taxonomy;Context awareness;Explosives;Semantic Web;History;Clustering algorithms","","","","26","IEEE","1 Dec 2009","","","IEEE","IEEE Conferences"
"A Framework for automated selective Fine-Tuning of Domain-Specific Large Language Models Using Graph-Based Retrieval Augmented Generation","H. Govindharajan; S. Vijayakumar",NA; NA,"2024 IEEE 15th Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)","20 Nov 2024","2024","","","431","439","Graph based retrieval augmented generation technique in Large Language Model (LLM) brings in major advantages by providing deep context to LLMs through relational knowledge graph for text generation, classification, question and answering use cases. However, maintaining vast data volume of domain specific data in a knowledge graph with complex relationships and querying from it every time a prompt is being posted to LLM, is a time consuming and expensive process. This paper presents a novel framework for selectively fine-tuning domain-specific large language models (LLMs) using a multi-stage Knowledge Graph (KG) based Retrieval Augmented Generation (RAG) pipeline and an Automated Incremental Fine-tuning System (AIFS). The proposed system aims to enhance the accuracy and relevance of LLM responses for text generation and Question Answering use cases by finetuning the LLM incrementally based on highly sought and highly relevant information in knowledge graph identified by leveraging page rank algorithm in KG. The framework comprises three major subsystems: Knowledge Graph Generation, Automated Incremental fine-tuning system (AIFS), and Domain Based Information Retrieval (DBIR). The effectiveness of the system is demonstrated through its ability to incrementally fine-tune LLMs based on selected highly relevant nodes within the KG, thereby improving the model’s domain-specific knowledge, response accuracy by 90% and reduce cost by 71.8%.","","979-8-3315-4090-6","10.1109/UEMCON62879.2024.10754778","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10754778","Artificial Intelligence(AI);Knowledge Graph(KG);Large Language Models(LLM);LLM Fine-tuning;Contextual Information Extraction &Retrieval Systems","Accuracy;Costs;Large language models;Pipelines;Knowledge graphs;Information retrieval;Mobile communication;Question answering (information retrieval)","","","","20","IEEE","20 Nov 2024","","","IEEE","IEEE Conferences"
"Using Generative Large Language Models for Hierarchical Relationship Prediction in Medical Ontologies","H. Liu; S. Zhou; Z. Chen; Y. Perl; J. Wang","School of Computing, Montclair State University, Montclair, USA; Computer Science Dept., New Jersey Institute of Tech, Newark, USA; Biomedical Engineering Dept., Stevens Institute of Tech, Hoboken, USA; Computer Science Dept., New Jersey Institute of Tech, Newark, USA; School of Computing, Montclair State University, Montclair, USA",2024 IEEE 12th International Conference on Healthcare Informatics (ICHI),"22 Aug 2024","2024","","","248","256","This study extends the exploration of ontology enrichment by evaluating the performance of various open-sourced Large Language Models (LLMs) on the task of predicting hierarchical relationships (IS-A) in medical ontologies including SNOMED CT Clinical Finding and Procedure hierarchies and the human Disease Ontology. With the previous finetuned BERT models for hierarchical relationship prediction as the baseline, we assessed eight open-source generative LLMs for the same task. We observed only three models, without finetuning, demonstrated comparable or superior performance compared to the baseline BERT -based models. The best performance model OpenChat achieved a macro average F1 score of 0.96 (0.95) on SNOMED CT Clinical Finding (Procedure) hierarchy, an increase over 7% from the baseline 0.89 (0.85). On human Disease Ontology, OpenChat excels with an F1 score of 0.91, outperforming the second-best performance model Vicuna (0.84). Notably, some LLMs prove unsuitable for hierarchical relationship prediction tasks or appliable for concept placement of medical ontologies. We also explored various prompt templates and ensemble techniques to uncover potential confounding factors in applying LLMs for IS-A relation predictions for medical ontologies.","2575-2634","979-8-3503-8373-7","10.1109/ICHI61247.2024.00040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628803","Hieratical Relation Prediction;Large Language Models;Medical Ontology;Prompts Design;SNOMED CT","Accuracy;Large language models;Medical services;Ontologies;Predictive models;Task analysis;Informatics","","1","","27","IEEE","22 Aug 2024","","","IEEE","IEEE Conferences"
"A Hybrid Approach to Extraction of Knowledge From Scientific Texts Based on Large Language Models and Domain Dictionaries","A. Chusova; I. Artemieva; A. Chusov","Department Software Engineering and Artificial Intelligence, Far Eastern Federal University, Vladivostok, Russia; Department Software Engineering and Artificial Intelligence, Far Eastern Federal University, Vladivostok, Russia; Department Software Engineering and Artificial Intelligence, Far Eastern Federal University, Vladivostok, Russia","2024 IEEE International Multi-Conference on Engineering, Computer and Information Sciences (SIBIRCON)","26 Nov 2024","2024","","","266","271","The vast information landscape of the Internet constitute a significant challenge for extracting valuable content. The lack of standardized data models and structures necessitates ad hoc solutions, often requiring expert knowledge that developers may lack. While Large Language Models (LLMs) hold promise for addressing this challenge, their susceptibility to AI hallucinations and inaccuracies necessitates ongoing research. This paper introduces a hybrid approach for extracting information on computational methods that combines domain-specific dictionaries with LLMs in order to improve the accuracy of method categorization. Our system incorporates explainability, allowing users to understand the reasoning behind method assignments. Furthermore, user-driven training is facilitated by allowing users to select theories and highlight relevant keywords, enhancing learning capabilities of the system. Its implementation demonstrates the effectiveness of this approach, achieving an impressive Fl-score of up to 90.3 %. This research contributes to the ongoing effort to develop robust and accurate knowledge extraction systems for navigating the ever-expanding landscape of online information.","2995-0996","979-8-3315-3202-4","10.1109/SIBIRCON63777.2024.10758538","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10758538","Large Language Model;Dictionary;Classilication;Acoustic models","Training;Accuracy;Dictionaries;Navigation;Large language models;Computational modeling;Ontologies;Acoustics;Software;Data mining","","","","16","IEEE","26 Nov 2024","","","IEEE","IEEE Conferences"
"OntoCons: A Method for Intelligent Construction of Domain Ontology Models for Large Language Models","Y. Li; W. Lu; X. Xiang","School of Foreign Language, Wuhan Business University, Wuhan, China; College of Information and Communication, National University of Defense Technology, Wuhan, China; School of Foreign Language, Wuhan Business University, Wuhan, China","2025 5th International Conference on Neural Networks, Information and Communication Engineering (NNICE)","15 Jul 2025","2025","","","706","712","With the development of large language models technology, its application in the field of education has been steadily expanding. However, due to limitations in understanding specialized literature in vertical fields, large language models face serious issues of “hallucination” and prior bias when responding to teachers' questions about specialized domains. To address this, this paper proposes an intelligent construction framework for ontology models based on knowledge tuple extraction, called OntoCons, which introduces entity extraction and relation extraction methods into the field of ontology model construction. OntoCons transforms the ontology model construction problem into a knowledge tuple extraction problem, enhancing the transparency and interpretability of ontology model construction methods, and introduces subgraph encoding strategies to improve the accuracy of relation extraction. This research provides a new method for the intelligent construction of ontology models in vertical fields, improving the understanding and response quality of large language models in specialized domains by combining machine learning and manual analysis.","","979-8-3315-0796-1","10.1109/NNICE64954.2025.11063905","Wuhan Business University(grant numbers:2023N013); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11063905","large language model;ontology model;knowledge extraction;entity extraction;relation extraction","Knowledge engineering;Accuracy;Large language models;Manuals;Machine learning;Transforms;Ontologies;Reliability theory;Encoding;Data mining","","","","12","IEEE","15 Jul 2025","","","IEEE","IEEE Conferences"
"Mapping Biomedical Ontology Terms to Ids: Effect of Domain Prevalence on Prediction Accuracy","T. S. Do; D. B. Hier; T. Obafemi-Ajayi","Computer Science Department, Missouri State University, Springfield, MO; Kummer Institute Center for Artificial Intelligence and Autonomous Systems, Missouri University of Science & Technology; Cooperative Engineering Program, Missouri State University, Springfield, MO",2025 IEEE Conference on Artificial Intelligence (CAI),"7 Jul 2025","2025","","","1","6","This study evaluates the ability of large language models (LLMs) to map biomedical ontology terms to their corresponding ontology IDs across the Human Phenotype Ontology (HPO), Gene Ontology (GO), and UniProtKB terminologies. Using counts of ontology IDs in the PubMed Central (PMC) dataset as a surrogate for their prevalence in the biomedical literature, we examined the relationship between ontology ID prevalence and mapping accuracy. Results indicate that ontology ID prevalence strongly predicts accurate mapping of HPO terms to HPO IDs, GO terms to GO IDs, and protein names to UniProtKB accession numbers. Higher prevalence of ontology IDs in the biomedical literature correlated with higher mapping accuracy. Predictive models based on receiver operating characteristic (ROC) curves confirmed this relationship. In contrast, this pattern did not apply to mapping protein names to Human Genome Organisation's (HUGO) gene symbols. GPT-4 achieved a high baseline performance (95 %) in mapping protein names to HUGO gene symbols, with mapping accuracy unaffected by prevalence. We propose that the high prevalence of HUGO gene symbols in the literature has caused these symbols to become lexicalized, enabling GPT-4 to map protein names to HUGO gene symbols with high accuracy. These findings highlight the limitations of LLMs in mapping ontology terms to low-prevalence ontology IDs and underscore the importance of incorporating ontology ID prevalence into the training and evaluation of LLMs for biomedical applications.","","979-8-3315-2400-5","10.1109/CAI64502.2025.00101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11050705","Ontology mapping;machine codes;large language models;Zipf's Law;Gene Ontology;Human Phenotype Ontology;lexicalization;UniProt KB","Proteins;Training;Protein engineering;Accuracy;Phenotypes;Terminology;Large language models;Symbols;Training data;Ontologies","","","","38","IEEE","7 Jul 2025","","","IEEE","IEEE Conferences"
"LLM & Bagging for 1-shot Joint IE","Y. Fu; Z. Ding; X. Xu","National Key Laboratory of Information Systems Engineering, National University of Defense Technology, Changsha, China; National Key Laboratory of Information Systems Engineering, National University of Defense Technology, Changsha, China; China University of Petroleum (East China), Qingdao, China",2024 IEEE 9th International Conference on Data Science in Cyberspace (DSC),"4 Feb 2025","2024","","","204","208","Domain-specific few-shot information extraction (IE) has always been the difficulty of domain knowledge graph construction, and there is a new solution in this direction after the emergence of large language models (LLM). In this paper, based on previous research, we propose LLM-based 1-shot relation-entity joint IE scheme, and the bagging enhance LLM IE method is proposed to take advantage of the randomness of the LLM output. Against the background of the concept of Internet of Things (IoT) which has received wide attention globally, we selects the IoT interconnective communication as a domain-specific example, crawls the text of the device pages of L3Harris, RockwellCollins as our corpus, selects large language models that differ in the number of parameters and invocation methods to test the proposed joint IE method in relations given by the IoT interconnective communication ontology. The bagging method is tested based on the IE results of GPT-4 Turbo, and there is an improvement of 1-3%, which shows the effectiveness of traditional machine learning methods in LLM. Finally, the results and shortcomings of this study are analyzed.","","979-8-3503-9136-7","10.1109/DSC63484.2024.00034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10858988","Large Language Model (LLM);Information Extraction (IE);bagging;1-shot;Communication","Training;Large language models;Knowledge graphs;Ontologies;Data science;Information retrieval;Internet of Things;Bagging;Standards;Random forests","","","","9","IEEE","4 Feb 2025","","","IEEE","IEEE Conferences"
"Analysis of LLMs for RDF Triple Generation: Semantic and Syntactic Evaluation Using WebNLG","S. Onozuka; T. Ohnishi","Graduate School of Artificial Intelligence and Science, Rikkyo University, Tokyo, Japan; Graduate School of Artificial Intelligence and Science, Rikkyo University, Tokyo, Japan",2025 19th International Conference on Semantic Computing (ICSC),"19 Jun 2025","2025","","","136","143","Using the WebNLG dataset as ground truth, we evaluate the capability of large language models (LLMs) to generate resource description framework triples from natural language input. The proposed method employs two complementary evaluation metrics: cosine similarity for assessing semantic proximity and graph edit distance for comparing structural aspects of triple sets. The analysis demonstrates that these metrics provide distinct yet complementary perspectives on semantic evaluation, enabling a comprehensive assessment of the natural language understanding capabilities of LLMs. Through this approach, we demonstrate that modern LLMs exhibit sophisticated abilities in integrated syntax and semantics processing by utilizing distributed representations where both types of information coexist within high-dimensional vector spaces. This integration suggests that understanding of language structure of LLMs transcends simple pattern recognition to achieve meaningful semantic comprehension.","2472-9671","979-8-3315-2426-5","10.1109/ICSC64641.2025.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11036147","Ontology;RDF;LLMs;Similarity","Measurement;Large language models;Semantics;Syntactics;Ontologies;Resource description framework;Vectors;Natural language processing;Pattern recognition","","","","12","IEEE","19 Jun 2025","","","IEEE","IEEE Conferences"
